"nome_xlsx";"nome_plot";"nome_quantum";"taxa_adm_aa";"primeira_data";"ultima_data";"n_obs";"ret_fundo_acum";"ret_cdi_acum";"janela";"meses";"cobertura_ok";"ret_fundo_aa";"ret_cdi_aa";"excesso_cdi_aa";"percentual_cdi"
"BOCOM BBM Corporate Credit Plus FIF CIC MULT CP RL";"BOCOM BBM Corporate Credit Plus MULT";"BOCOM BBM CORPORATE CREDIT PLUS RESP LIMITADA FIF CIC MULTIMERCADO CRÉDITO PRIVADO";"0,0090";"2025-07-01";"2026-06-30";"252";"0,1531379735812710";"0,1478274521113714";"12 meses";"12";TRUE;"0,1531379735812710";"0,147827452111371";"4,62658517195358e-03";"1,035923784074278"
"BOCOM BBM Corporate Credit Plus FIF CIC MULT CP RL";"BOCOM BBM Corporate Credit Plus MULT";"BOCOM BBM CORPORATE CREDIT PLUS RESP LIMITADA FIF CIC MULTIMERCADO CRÉDITO PRIVADO";"0,0090";"2024-07-01";"2026-06-30";"503";"0,3080755418690757";"0,2870100168583818";"24 meses";"24";TRUE;"0,1437113018017597";"0,134464638875263";"8,15068412856279e-03";"1,068766502508321"
"BOCOM BBM Corporate Credit Plus FIF CIC MULT CP RL";"BOCOM BBM Corporate Credit Plus MULT";"BOCOM BBM CORPORATE CREDIT PLUS RESP LIMITADA FIF CIC MULTIMERCADO CRÉDITO PRIVADO";"0,0090";"2023-07-03";"2026-06-30";"752";"0,4853934558770863";"0,4374821021799329";"36 meses";"36";TRUE;"0,1409864898692252";"0,128584674955896";"1,09888209440856e-02";"1,096448623582734"
"BTG Pactual Crédito Corporativo I FIF em Cotas de FIRF";"BTG Pactual Crédito Corporativo I";"BTG PACTUAL CRÉDITO CORPORATIVO I FIF CIC RENDA FIXA";"0,0050";"2025-12-31";"2026-06-30";"123";"0,0715757032835764";"0,0690511803661034";"6 meses";"6";TRUE;"0,1482744878676914";"0,142870426242159";"4,72849896317773e-03";"1,037824914278430"
"BTG Pactual Crédito Corporativo I FIF em Cotas de FIRF";"BTG Pactual Crédito Corporativo I";"BTG PACTUAL CRÉDITO CORPORATIVO I FIF CIC RENDA FIXA";"0,0050";"2025-07-01";"2026-06-30";"252";"0,1468546357318881";"0,1478274521113714";"12 meses";"12";TRUE;"0,1468546357318881";"0,147827452111371";"-8,47528413520537e-04";"0,993419244087692"
"BTG Pactual Crédito Corporativo I FIF em Cotas de FIRF";"BTG Pactual Crédito Corporativo I";"BTG PACTUAL CRÉDITO CORPORATIVO I FIF CIC RENDA FIXA";"0,0050";"2024-07-01";"2026-06-30";"503";"0,2971384271718858";"0,2870100168583818";"24 meses";"24";TRUE;"0,1389198510746426";"0,134464638875263";"3,92714946478723e-03";"1,033132965191778"
"BTG Pactual Crédito Corporativo I FIF em Cotas de FIRF";"BTG Pactual Crédito Corporativo I";"BTG PACTUAL CRÉDITO CORPORATIVO I FIF CIC RENDA FIXA";"0,0050";"2023-07-03";"2026-06-30";"752";"0,5051664940000646";"0,4374821021799329";"36 meses";"36";TRUE;"0,1460269941366819";"0,128584674955896";"1,54550381268181e-02";"1,135648506999521"
"Bocom BBM Corporate Credit II FIF RF CP RL";"Bocom BBM Corporate Credit II";"BOCOM BBM CORPORATE CREDIT II RESP LIMITADA FIF CIC RENDA FIXA CRÉDITO PRIVADO";"0,0060";"2025-12-31";"2026-06-30";"123";"0,0700646244435796";"0,0690511803661034";"6 meses";"6";TRUE;"0,1450383004855791";"0,142870426242159";"1,89686791576915e-03";"1,015173708796429"
"Bocom BBM Corporate Credit II FIF RF CP RL";"Bocom BBM Corporate Credit II";"BOCOM BBM CORPORATE CREDIT II RESP LIMITADA FIF CIC RENDA FIXA CRÉDITO PRIVADO";"0,0060";"2025-07-01";"2026-06-30";"252";"0,1506753577582980";"0,1478274521113714";"12 meses";"12";TRUE;"0,1506753577582980";"0,147827452111371";"2,48112696876879e-03";"1,019265066171749"
"Bocom BBM Corporate Credit II FIF RF CP RL";"Bocom BBM Corporate Credit II";"BOCOM BBM CORPORATE CREDIT II RESP LIMITADA FIF CIC RENDA FIXA CRÉDITO PRIVADO";"0,0060";"2024-07-01";"2026-06-30";"503";"0,2999990519645330";"0,2870100168583818";"24 meses";"24";TRUE;"0,1401750093580076";"0,134464638875263";"5,03353765914261e-03";"1,042467451149305"
